sample,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50
11737.D00MA1,166,42045,3693,35849,7675,766,144,0,14809,30,0,61,2257,185,5398,0,32,3682,442,11471,647,1863,2,2464,1466,2888,2,0,6,3862,1707,3433,0,3,231,12,3223,1918,4270,1373,43,1,1926,27,645,1097,21,1310,170,712
11737.D00MA2,121,49431,723,35162,8583,0,30,0,16196,9,0,9,7634,162,4021,0,3,1846,1282,411,554,1671,12,335,959,478,7,0,0,111,84,114,0,2,156,7,105,78,116,35,73,3,156,0,510,182,13,257,3,221
11737.D00MA3,2191,56981,454,52279,11726,216,33,0,22959,5,0,21,8297,379,8338,0,7,3490,6,312,888,1427,37,395,425,458,43,2,2,332,176,117,0,6,2,13,79,24,1124,13,153,0,32,14,175,397,6,271,6,226
11737.D00MB1,4838,57675,538,55429,22998,20,85,0,21823,13,0,16,979,199,6818,0,8,3923,141,417,1794,2337,9,433,3096,1944,13,0,13,110,195,135,0,0,669,13,114,368,97,882,152,7,444,7,926,241,124,321,2,514
11737.D00MB2,4193,56755,1615,43132,13457,25,71,0,17916,7,2,23,382,300,6592,0,9,2590,5724,474,996,4690,11,8,1668,0,14,0,9,246,107,141,0,2,52,7,108,192,0,283,18,2,45,0,7,202,0,119,4,91
11737.D00MB3,1905,67780,4,43142,20209,395,96,0,23125,105,0,42,1289,167,7356,0,31,729,2145,1592,1458,3596,15,740,443,883,34,5,17,17,190,552,0,2,23,27,408,0,1414,714,675,0,759,23,174,349,0,283,34,772
11737.D00MC1,7794,66081,6217,40672,8844,67,97,0,15607,7,0,14,10250,311,5751,0,3,5428,3083,1035,636,3937,16,1522,1136,4064,3,12,12,71,82,404,0,2,1415,0,237,815,19,30,124,4,199,0,536,14,161,0,20,1013
11737.D00MC2,5222,82628,1286,55916,19077,197,15,0,22289,16,0,21,3437,652,7263,0,0,3557,5908,344,1551,5281,5,1205,702,1224,34,4,48,162,65,113,0,0,712,0,85,1785,0,738,158,0,337,0,1924,34,22,20,104,724
11737.D00MC3,2209,37632,158,58404,14561,1276,28,0,29196,230,13,93,3363,178,17105,0,0,1711,10,0,971,530,18,173,4,6,43,8,41,557,212,0,0,4,12,279,0,1060,34,122,46,0,380,0,131,77,8,0,264,0
11737.D01MA1,535,59601,1953,45201,14544,883,107,0,25674,18,0,29,3534,323,8588,0,65,6709,1156,5596,1078,947,6,1927,1171,1429,11,0,4,3254,2529,1608,0,0,445,15,1424,1394,1880,2408,24,1,3090,6,970,1031,43,2105,140,854
11737.D01MA2,1042,72175,1913,51181,11257,3,44,0,25134,5,0,8,4854,268,9614,0,5,4606,3257,2414,1014,1002,4,943,397,385,18,0,2,697,789,674,0,0,162,4,593,312,214,291,37,12,422,0,1302,827,4,1315,2,525
11737.D01MA3,3139,57072,1434,45582,13866,875,72,2,22410,17,11,33,1529,46,9607,0,10,3769,147,1543,962,1568,19,356,657,42,36,0,0,702,430,527,0,5,15,5,342,10,707,91,100,14,139,18,296,552,0,237,25,237
11737.D01MB1,2851,44754,501,43739,5836,3,63,7,17331,6,0,8,598,211,6242,0,6,3057,546,420,584,1941,5,134,1864,3400,2,0,12,81,58,103,0,0,935,2,73,383,1,539,146,0,290,0,809,132,85,143,0,391
